"ts","req","gw","phase","status","err","outcome","acct","model","source","hard","cont","auto","prev","upstreamResp","retry","selectedReason","skip","stickyCleared","activeStream","previousAffinity","requestAffinity"
"1779889432956","x-codex-turn-state:sha256:e1051ecba5ac","gw-1779889401034-158","response_affinity_bound",,,"bound","sha256:88ecc5236095","gpt-5.5","codex_turn_state",,"false","false",,"response:sha256:1f0c307cf519",,,,,,,
"1779889434057","x-codex-turn-state:sha256:e1051ecba5ac","gw-1779889433927-159","request_trace",,,"prepared","-","gpt-5.5","codex_turn_state","true","false","false",,,,,,,,,
"1779889434171","x-codex-turn-state:sha256:e1051ecba5ac","gw-1779889433927-159","auth_projection",,,"prepared","sha256:88ecc5236095","gpt-5.5","codex_turn_state",,"false","false",,,,,,,,,
"1779889434200","x-codex-turn-state:sha256:e1051ecba5ac","gw-1779889433927-159","upstream_forward",,,"send_started","sha256:88ecc5236095","gpt-5.5","codex_turn_state",,"false","false",,,,,,,,,
"1779889436776","x-codex-turn-state:sha256:e1051ecba5ac","gw-1779889433927-159","upstream_forward","200",,"response_received","sha256:88ecc5236095","gpt-5.5","codex_turn_state",,"false","false",,,,,,,,,
"1779889436844","x-codex-turn-state:sha256:e1051ecba5ac","gw-1779889433927-159","selector",,,"request_affinity_bound","sha256:88ecc5236095","gpt-5.5","codex_turn_state",,"false","false",,,,,,,,,
"1779889436876","x-codex-turn-state:sha256:e1051ecba5ac","gw-1779889433927-159","routing_decision","200",,"selected","sha256:88ecc5236095","gpt-5.5","codex_turn_state",,"false","false",,,,"request_affinity_selected",,"false","false","false","true"
"1779889436890","x-codex-turn-state:sha256:e1051ecba5ac","gw-1779889433927-159","selector","200",,"selected","sha256:88ecc5236095","gpt-5.5","codex_turn_state",,"false","false",,,,"request_affinity_selected",,"false","false","false","true"
"1779889436983","x-codex-turn-state:sha256:e1051ecba5ac","gw-1779889433927-159","selector",,,"request_affinity_bound","sha256:88ecc5236095","gpt-5.5","codex_turn_state",,"false","false",,,,,,,,,
"1779889448269","x-codex-turn-state:sha256:9e0a4a8a3ac8","gw-1779889376807-155","stream_terminal","200",,"ok","sha256:88ecc5236095","gpt-5.5","codex_turn_state",,"false","false",,,,,,,,,
"1779889448292","x-codex-turn-state:sha256:9e0a4a8a3ac8","gw-1779889376807-155","lease_released",,,"completed","sha256:88ecc5236095","gpt-5.5","codex_turn_state",,"false","false",,,,,,,,,
"1779889448349","x-codex-turn-state:sha256:9e0a4a8a3ac8","gw-1779889376807-155","response_affinity_bound",,,"bound","sha256:88ecc5236095","gpt-5.5","codex_turn_state",,"false","false",,"response:sha256:80bd3d3e0a6c",,,,,,,
"1779889448443","x-codex-turn-state:sha256:9e0a4a8a3ac8","gw-1779889448302-160","request_trace",,,"prepared","-","gpt-5.5","codex_turn_state","true","false","false",,,,,,,,,
"1779889448510","x-codex-turn-state:sha256:9e0a4a8a3ac8","gw-1779889448302-160","auth_projection",,,"prepared","sha256:88ecc5236095","gpt-5.5","codex_turn_state",,"false","false",,,,,,,,,
"1779889448543","x-codex-turn-state:sha256:9e0a4a8a3ac8","gw-1779889448302-160","upstream_forward",,,"send_started","sha256:88ecc5236095","gpt-5.5","codex_turn_state",,"false","false",,,,,,,,,
